Genus,condition
Faecalibacterium,decrease
Bifidobacterium,decrease
Gordonibacter,decrease
Prevotella,decrease
Oscillibacter,decrease
Ruminococcus,decrease
Veillonella,decrease
Roseburia,decrease
Eubacterium,decrease
Streptococcus,decrease
Gemmiger,decrease
Ruminiclostridium,decrease
Gardnerella,decrease
Sulfurovum,decrease
Acholeplasma,decrease
Porphyromonas,decrease
Megamonas,decrease
Holdemanella,decrease
Peptoniphilus,medium
Collinsella,medium
Blautia,medium
Acidaminococcus,medium
Coprococcus,medium
Olsenella,medium
Christensenella,medium
Anaerofustis,medium
[Eubacterium] brachy[genus],medium
Hyphomonas,medium
[Eubacterium] sulci[genus],medium
Erysipelatoclostridium,medium
Leifsonia,medium
Butyricicoccus,medium
Delftia,medium
Sutterella,medium
Dorea,medium
Cellulosilyticum,medium
Enterococcus,medium
Pseudobacteroides,medium
Ethanoligenens,medium
Paenibacillus,medium
Papillibacter,medium
Mitsuokella,medium
Algoriphagus,medium
Eggerthella,medium
Barnesiella,medium
Butyrivibrio,medium
Tyzzerella,medium
Sporobacter,medium
Anaerotruncus,medium
Alistipes,medium
Bacillus,medium
Dehalobacter,medium
Clostridium,medium
[Bacteroides] pectinophilus[genus],medium
Clostridioides,medium
Coprobacillus,medium
Clavibacter,medium
Haemophilus,medium
Bilophila,medium
Slackia,medium
Micromonospora,medium
[Eubacterium] rectale[genus],medium
Desulfonispora,medium
Methanobrevibacter,medium
Holdemania,medium
Desulfovibrio,medium
Parabacteroides,medium
Lactobacillus,medium
Lactococcus,medium
Dialister,medium
Hungatella,medium
Pseudobutyrivibrio,medium
Asaccharobacter,medium
Odoribacter,medium
Paraclostridium,medium
Kandleria,increase
Facklamia,increase
Anaerostipes,increase
Caminicella,increase
Paraprevotella,increase
Sporosarcina,increase
Lachnoclostridium,increase
Butyricimonas,increase
Bacteroides,increase
[Eubacterium] dolichum[genus],increase
Proteus,increase
Escherichia,increase
Hespellia,increase
Akkermansia,increase
Spiroplasma,increase
Parasutterella,increase
Dysgonomonas,increase
Capnocytophaga,increase
Fusobacterium,increase
