Species,condition
Prevotella bivia,decrease
Faecalibacterium prausnitzii,decrease
Streptococcus pasteurianus,decrease
Prevotella copri,decrease
Gordonibacter pamelaeae,decrease
Bifidobacterium bifidum,decrease
Oscillibacter valericigenes,decrease
Bifidobacterium catenulatum,decrease
Bifidobacterium merycicum,decrease
Bifidobacterium saeculare,decrease
Ruminococcus champanellensis,decrease
Blautia obeum,decrease
Veillonella ratti,decrease
Prevotella saccharolytica,decrease
Gemmiger formicilis,decrease
Parabacteroides merdae,decrease
Collinsella aerofaciens,decrease
Streptococcus salivarius,decrease
Bifidobacterium longum,decrease
Bifidobacterium dentium,decrease
Gardnerella vaginalis,decrease
Acholeplasma palmae,decrease
Sulfurovum sp. NBC37-1,decrease
Ruminococcus bromii,decrease
Peptoniphilus lacrimalis,decrease
Megamonas hypermegale,decrease
Porphyromonas catoniae,decrease
Holdemanella biformis,decrease
Coprococcus eutactus,decrease
Bifidobacterium pseudocatenulatum,decrease
Bifidobacterium gallicum,decrease
Olsenella uli,medium
Ruminococcus callidus,medium
Desulfovibrio oxamicus,medium
[Clostridium] leptum,medium
[Clostridium] propionicum,medium
Prevotella oulorum,medium
Roseburia hominis,medium
Bacteroides coprocola,medium
Clostridium beijerinckii,medium
Sutterella parvirubra,medium
Prevotella salivae,medium
Eubacterium plexicaudatum,medium
Streptococcus vestibularis,medium
Acidaminococcus intestini,medium
[Clostridium] methylpentosum,medium
[Eubacterium] siraeum,medium
Christensenella minuta,medium
Bifidobacterium indicum,medium
Spiroplasma syrphidicola,medium
Prevotella shahii,medium
Bacteroides plebeius,medium
Ruminococcus flavefaciens,medium
Ruminiclostridium thermocellum,medium
Bifidobacterium breve,medium
Eggerthella sp. YY7918,medium
[Clostridium] viride,medium
Blautia coccoides,medium
Anaerofustis stercorihominis,medium
[Eubacterium] brachy,medium
Hyphomonas neptunium,medium
[Eubacterium] sulci,medium
Prevotella loescheii,medium
Bifidobacterium biavatii,medium
Bifidobacterium scardovii,medium
Parabacteroides johnsonii,medium
Prevotella fusca,medium
Roseburia faecis,medium
Alistipes shahii,medium
Ruminococcus lactaris,medium
Blautia hydrogenotrophica,medium
[Clostridium] spiroforme,medium
Paenibacillus sp. VKM B-2647,medium
Spiroplasma lampyridicola,medium
Blautia schinkii,medium
Prevotella denticola,medium
[Clostridium] stercorarium,medium
Eggerthella lenta,medium
Leifsonia shinshuensis,medium
Clostridium puniceum,medium
Butyricicoccus desmolans,medium
[Clostridium] saccharolyticum,medium
Dorea formicigenerans,medium
Delftia sp. Cs1-4,medium
Cellulosilyticum lentocellum,medium
Eubacterium ventriosum,medium
Bifidobacterium pseudolongum,medium
Prevotella amnii,medium
Streptococcus thermophilus,medium
Bacteroides massiliensis,medium
Pseudobacteroides cellulosolvens,medium
[Clostridium] citroniae,medium
Ethanoligenens harbinense,medium
Papillibacter cinnamivorans,medium
[Eubacterium] hallii,medium
Mitsuokella multacida,medium
Algoriphagus marincola,medium
Alistipes onderdonkii,medium
Bifidobacterium angulatum,medium
Olsenella umbonata,medium
Blautia luti,medium
Bacillus gaemokensis,medium
[Clostridium] neopropionicum,medium
Bifidobacterium choerinum,medium
Clostridium aurantibutyricum,medium
Dialister invisus,medium
Barnesiella viscericola,medium
Butyrivibrio crossotus,medium
[Clostridium] saccharogumia,medium
Prevotella albensis,medium
Lactobacillus ruminis,medium
Collinsella intestinalis,medium
Sutterella stercoricanis,medium
Sporobacter termitidis,medium
Anaerotruncus colihominis,medium
Bifidobacterium adolescentis,medium
Roseburia inulinivorans,medium
Eubacterium ramulus,medium
Prevotella ruminicola,medium
Dehalobacter sp. CF,medium
[Eubacterium] eligens,medium
Streptococcus equinus,medium
[Bacteroides] pectinophilus,medium
Clostridium tertium,medium
Clostridioides difficile,medium
[Clostridium] colinum,medium
[Ruminococcus] torques,medium
Alistipes putredinis,medium
Haemophilus parainfluenzae,medium
Coprococcus comes,medium
Alistipes timonensis,medium
Coprobacillus cateniformis,medium
Bacteroides vulgatus,medium
[Clostridium] clariflavum,medium
Clavibacter michiganensis,medium
Bilophila wadsworthia,medium
Bifidobacterium animalis,medium
Micromonospora purpureochromogenes,medium
Slackia isoflavoniconvertens,medium
[Eubacterium] rectale,medium
Desulfonispora thiosulfatigenes,medium
Methanobrevibacter smithii,medium
Holdemania filiformis,medium
Clostridium saccharoperbutylacetonicum,medium
Alistipes finegoldii,medium
Lactococcus lactis,medium
Desulfovibrio piger,medium
Dialister micraerophilus,medium
Ruminococcus sp. DSM 100440,medium
Ruminococcus albus,medium
[Ruminococcus] gnavus,medium
Hungatella hathewayi,medium
Pseudobutyrivibrio ruminis,medium
Prevotella disiens,medium
Bacteroides stercoris,medium
Bacteroides sp. CIP103040,medium
[Clostridium] bolteae,medium
Dialister propionicifaciens,medium
[Clostridium] aldenense,medium
Asaccharobacter celatus,medium
Odoribacter splanchnicus,medium
Bacteroides coprophilus,medium
Bacteroides eggerthii,medium
Paraclostridium bifermentans,medium
Blautia glucerasea,medium
[Desulfotomaculum] guttoideum,increase
Bacteroides dorei,increase
Kandleria vitulina,increase
Facklamia sourekii,increase
Anaerostipes caccae,increase
Desulfovibrio desulfuricans,increase
Bacteroides uniformis,increase
Desulfovibrio vulgaris,increase
Clostridium paraputrificum,increase
Caminicella sporogenes,increase
Paraprevotella clara,increase
[Clostridium] indolis,increase
Bacteroides intestinalis,increase
Clostridium sp. ATCC 29733,increase
Lactobacillus animalis,increase
Sporosarcina psychrophila,increase
Clostridium septicum,increase
Enterococcus casseliflavus,increase
Parabacteroides distasonis,increase
Veillonella parvula,increase
Butyricimonas virosa,increase
Bacteroides thetaiotaomicron,increase
Bacteroides acidifaciens,increase
[Eubacterium] dolichum,increase
Clostridium carnis,increase
[Clostridium] symbiosum,increase
Proteus mirabilis,increase
Bacteroides ovatus,increase
Bacteroides caccae,increase
Escherichia coli,increase
Hespellia stercorisuis,increase
Streptococcus mitis,increase
Prevotella scopos,increase
Blautia hansenii,increase
Erysipelatoclostridium ramosum,increase
Akkermansia muciniphila,increase
Clostridium butyricum,increase
Parasutterella excrementihominis,increase
Bacteroides xylanisolvens,increase
Veillonella dispar,increase
Dysgonomonas mossii,increase
Bacteroides stercorirosoris,increase
Bacteroides fragilis,increase
Bacteroides luti,increase
Parabacteroides goldsteinii,increase
Bacteroides nordii,increase
Capnocytophaga ochracea,increase
Bacteroides cellulosilyticus,increase
Paraprevotella xylaniphila,increase
Bacteroides salyersiae,increase
Spiroplasma taiwanense,increase
Parasutterella secunda,increase
Fusobacterium perfoetens,increase
