"","[Eubacterium] dolichum[genus]","Acholeplasma","Akkermansia","Anaerostipes","Bacteroides","Bifidobacterium","Butyricimonas","Caminicella","Capnocytophaga","Dysgonomonas","Escherichia","Eubacterium","Facklamia","Faecalibacterium","Fusobacterium","Gardnerella","Gemmiger","Gordonibacter","Hespellia","Holdemanella","Kandleria","Lachnoclostridium","Megamonas","Oscillibacter","Paraprevotella","Parasutterella","Porphyromonas","Prevotella","Proteus","Roseburia","Ruminiclostridium","Ruminococcus","Spiroplasma","Sporosarcina","Streptococcus","Sulfurovum","Veillonella"
"AMER_[Target][Cohousing]CRONdietRestricted",0,0,2.646803522,0,1.710232723,0,0,0,0,0,0,0.61234557,0,-3.512922503,0,0,0,0,0,0,0,1.90705548,0,-2.490226322,0,2.856923788,-0.41527325,2.670049015,0,0,-1.243741258,-3.484931248,0,0,0,0,0
"AMER_[Target][postCohousing]CRONdietRestricted",0,0,2.757007868,0,1.583682984,0,0,0,0,0,0,1.191642095,0,0,0,0,0,0,0,0,0,1.719935901,0,-2.019674614,0,3.288150234,-0.7078133095,4.077192248,0,0,-1.313505352,-3.85351346,0,0,0,0,0
"AMER_[Target]CRONdietCRONdietRestricted",0,0,2.703098185,0,1.956988491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8631637655,0,-2.4178910755,0,2.768311621,-1.381655419,0,0,-3.745629759,-0.5776304905,-2.37403813,0,0,0,0,0
"AMER_[Target]DietAMERdietAdLib",0,0,1.2476916065,0,2.046372294,-4.881759755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327928324,0,-2.801911037,0,0.0178872765,-2.105228563,0,0,-2.618938005,-2.039613266,-1.78487996,0,0,-2.727592938,0,0
"AMER_[Target]DietCRONdietRestricted",0,0,2.2375152715,0,1.985125603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8027101855,0,-2.285275127,0,2.3952166245,-2.03007505,0,0,-2.763276746,-0.6176982985,-1.408695805,0,0,0,0,0
"AMER_AMERdietAdLib",0,0,1.7896944765,0,1.503361159,-2.0825630215,-0.399021624,0,0,0,0,-2.6721116935,0,-1.3698088725,0,0,0,0,2.782559752,0.240306134,0.9733356345,1.366295979,0,-1.5718101025,0.8798747805,0.065029712,-1.50142942,-5.482638632,0,-2.2193538165,-2.099809815,-1.2297368465,5.292986865,0,-1.462709722,0,0
"AMER_AMERdietRestricted",0,0,2.376479089,0,0.834197523,-2.6180798225,1.31559378,0,0,0,0,-0.989413746,0,-3.9084630125,0,0,-1.002032534,0,2.059046801,-0.158048457,2.415772584,1.529125664,0,-1.7922111155,0.462085867,0.009108023,0.14048753,0,0,-1.789107716,-1.3859197835,-0.9942606355,3.7986213025,0,-1.112747565,0,0
"AMER_Control[Cohousing]CRONdietRestricted",0,0,2.455521251,0,2.0023341835,0,0,0,0,0,0,-0.44420551,0,0,0,0,0,0,0,0,0,1.4549159165,0,-2.814406904,0,2.5869372305,-1.0973199205,0,0,0,-0.4993307225,-2.4343674825,0,0,0,0,0
"AMER_Control[postCohousing]CRONdietRestricted",0,0,2.407934391,0,1.952907177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.707344828,0,-2.606289879,0,2.652049148,-0.996582022,0,0,0,-0.723029263,-2.548006587,0,0,0,0,0
"AMER_ControlCRONdietCRONdietRestricted",0,0,2.379633379,0,2.084233927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1279845965,0,-2.685521104,0,2.449913974,-1.280654138,0,0,-3.497734599,-0.451508214,-2.019633454,0,0,0,0,0
"AMER_ControlDietAMERdietAdLib",0,0,1.187744826,0,1.967522601,-5.06585687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424336666,0,-2.7378435485,0,-0.048549884,-2.115293884,0,0,-1.1400015905,-2.5584242295,-0.978458102,0,0,-3.11868251,0,0
"AMER_ControlDietCRONdietRestricted",0,0,2.5322768815,0,2.042092024,-8.430356258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34850142,0,-2.23377302,0,1.984220871,-1.4717384055,0,0,-1.807232609,-0.7372948335,-0.7954196515,0,0,0,0,0
"AMER_CRONdietRestricted",0,0,1.59839297,0,1.855111469,-3.7665063925,0.579730329,0,0,0,0,3.336876532,0,-5.853133108,0,0,0,0,1.892176146,-0.931891336,0.8883717385,1.969702847,0,-2.708384097,2.98741739,0.90762876,-1.30870964,-5.7716329775,0,-2.897787627,-1.211452199,-2.918661466,3.0764224335,0,-2.047674876,0,0
"AMER_sample",0,0,-0.285898404,0,-0.7580746015,0.409181441,-0.30045812,0,0,0,0,-0.2874500905,0,-0.1753338975,0,0,-1.170366035,0,-0.5196321025,0.0353714105,-0.533870316,-0.678796642,0.197148115,-0.1195088905,-0.3915041505,-2.354732593,-0.2830296175,-1.284640788,0,0.5555152195,-0.0001184165,0.109696076,1.018838096,0,-0.482538387,0,0
"Control",0,-1.722990842,0,0,1.074572076,0,0,0,0,0,0,2.37289412,0,0,0,0,0,0,2.719952654,0,0,2.981262379,0,-3.217333878,0.224993647,0,0,0,0,0,-2.259272451,0,0,0,0,0,0
"Control_1",2.127638343,1.270582197,0.497712299,0,1.146342091,-3.7591908645,0.3290403945,1.105242708,0,0,3.302164458,-1.336481935,0,-4.188831365,0,0,-1.638975449,0,0,-6.37039467,0,1.328496181,-5.435240494,-1.7132178615,1.63218535,0,0,-1.336098944,0,0.081432498,-1.246829632,-3.8003960125,0,0,-0.762500686,-1.202857132,0
"Control_2",0,0,0,0,1.253328177,-3.200506509,1.319957728,0,0,0,0.863372873,-1.534960191,1.250719144,-3.129486606,0,0,-0.802560062,0,0,0,0,3.0874455,0,0.235231982,2.113111513,1.9551809965,0,-1.845681521,0,-0.4786331265,0.050854694,-1.1055004975,0,0,-1.752639914,0,1.644174634
"CRON_[Cohousing]CRONdietRestricted",0,-0.718785513,0,0,1.361962051,0,3.6552550335,0,0,0,0,-2.708990361,0,-4.823655686,0,0,0,-2.755103045,4.1049162275,0,0,2.323853608,0,-2.5094548105,1.0762636545,4.144031276,0,-3.483619084,0,-4.316275761,-1.512064675,-6.060604528,0,0,0,0,0
"CRON_[postCohousing]CRONdietRestricted",0,-0.839122666,0,0,1.178125539,0,3.6424139395,0,0,0,0,-2.268325142,0,-4.907292413,0,0,0,-2.384229332,4.33403622,0,0,2.737340543,0,-2.805441205,1.147393014,4.7518521585,0,-4.626138563,0,0,-1.126642198,-4.9857995175,0,0,0,0,0
"CRON_AMERdietAdLib",0,-2.232170867,3.7351194225,0,1.502856194,4.3698912815,2.28812268,0,0,0,0,-2.079039812,0,-2.241956561,0,0,0,0,1.766752886,0,0,0.8911748155,0,-3.0016579005,-0.204083863,0.932615778,0,-2.605822093,0,-2.632246333,-1.558758888,-1.18512042,0,0,2.8646723935,0,0
"CRON_CRONdietAdLib",0,-2.017815046,2.810079558,0,1.8213952475,-0.111794759,2.2798519775,0,0,0,0,-1.315511431,0,-2.427498455,0,0,0,-3.057382274,2.627943707,0,0,2.8975134325,0,-1.27128683,1.865767837,1.544884226,0,-2.2476559615,0,-3.527068482,-2.163328935,-2.2265897255,0,0,5.381716697,0,0
"CRON_CRONdietCRONdietRestricted",0,-1.5457143335,0,0,1.9260656315,0,3.592416611,0,0,0,0,-2.475367576,0,-2.9146036755,0,0,0,-2.789253701,3.978054204,0,0,2.2434507795,0,-1.953658463,1.396244673,3.313203694,0,-2.037633265,0,-2.22855765,-1.5877862595,-2.641335229,0,0,0,0,0
"CRON_CRONdietRestricted",0,-2.3209802255,3.199577195,0,1.700970641,0.758235734,2.1228620825,0,0,0,0,-1.3001856315,0,-3.5382269815,0,0,0,0,2.4050368485,0,0,2.606909027,0,-2.3714615965,1.204494507,-0.0401359645,0,-1.923373392,0,-3.2956614985,-2.463906759,-0.578547866,0,0,0,0,0
"CRON_DietAMERdietAdLib",0,-2.5914406145,0,0,1.597133581,-1.020428387,2.653338078,0,0,0,0,-2.067384101,0,-3.817313229,0,0,0,-2.506576999,3.640366748,0,0,0.644855818,0,-2.382000501,0.792173307,2.1640467105,0,-1.0374090505,0,-2.5817092795,-0.992124159,0.0601248745,0,0,0.7812957765,0,0
"CRON_DietCRONdietRestricted",0,-2.444392257,0,0,2.218818312,0.088080858,2.7582786225,0,0,0,0,-1.718160509,0,-4.931142897,0,0,0,-3.046457117,2.8197042315,0,0,0.8424424125,0,-1.4105538985,1.1219306615,0.9701187585,0,-2.3033512875,0,-3.714200113,-1.753879046,-1.0938514265,0,0,0,0,0
"CRON_sample",0,-0.8336147525,0.5138398115,0,-0.3703903175,0.796526046,-0.036540967,0,0,0,0,-0.253056633,0,0.0453250135,0,0,0,-0.43306314,0.353429238,0,0,-0.1522190555,0,-0.1914249295,0.1940467875,-0.861140599,0,-0.4998220775,0,-0.150919964,0.2884833775,-0.1620613425,-0.269838851,1.4208560015,-0.1902617005,0,0
"Infantformula",1.819274509,0,0,1.10646436,4.024656815,-1.908185976,0,0,0,2.903300118,0,-2.2841400725,0,-2.082452256,4.843049698,-1.082589744,0,0,0.8214826285,-3.546037311,0,0.6686385525,-1.441221925,0,0,0,0,0,2.062522984,-4.2547399905,-0.441568475,0.123956101,-0.599608292,0,-4.3064624535,0,-2.427558697
"Infantformula+fruitsandvegetables",2.1293082735,0,0,1.069850176,3.687761494,-1.7742808935,0,0,0,2.944814098,0,-1.8571800915,0,0,5.04200959,-1.4263502245,0,0,0.8003154565,-3.110148369,0,0.5760959415,-1.473573377,0,0,0,0,0,1.9691775765,-3.738967655,-0.491092881,-0.1226406485,-0.657397583,0,-4.148255365,0,-1.941093871
"minus",-4.736683084,0,0,0,2.876397078,-7.6284776905,0,0,0,0,0,0,0,0,0,0,0,0,-1.245591895,0,0,0,0,-1.1897886645,0,4.3507120195,0,0,0,0,-4.159967305,0,0,0,0,0,0
"NormalHigh",0,-0.3330163745,-0.593375224,0,2.457850213,-2.4886144645,1.818503908,0,0,0,0,1.0239212515,0,-1.37001076,0,0,0,0,0,0,0,-0.1563218725,0,-3.59059249,0.31530127,1.759360867,0,-3.430978848,0,0.73687862,-3.2709766635,0.100478781,-0.366720271,0,0,0,0
"NormalLow",0,0,1.007512002,0,0.958322932,-3.648158974,0.579440928,0,3.459383739,0,0,-2.9031953075,0,-1.585958149,0,0,0,0,0,-2.101861811,0,-0.32611947,0,-3.020936349,3.658137246,0,0,0,0,-2.211541104,-2.779968704,-2.174675094,0,0,-2.913988686,0,0
"Obese_1",0,0,0,0,1.917448171,-3.8805041465,-0.046912946,1.475686132,0,0,6.978657014,-2.730639831,-0.362055199,-3.811441982,0,0,-2.83463991,0,0,-3.1250261775,0,1.431565815,2.157991122,-1.420545743,2.370171052,0,0,-4.975343493,0,-2.6875605935,-1.4041323425,-0.882278531,0,0,-1.679427093,0,-1.246649847
"Obese_2",0,0,-1.223282726,0,2.589999082,-5.184177866,-0.324915041,0,0,0,2.592051198,-2.734348973,0,-4.127167906,0,0,-2.737918602,0,0,0,0,0.7140116715,0,-1.8482743295,2.836223576,1.269984767,0,-3.936295805,0,0.045809212,-1.9758496935,-4.042135398,0,0,1.4069068355,0,0
"ObeseHigh",0,0.8821005315,1.042775345,0,1.410715565,-0.591440481,0.7366523035,0,0,0,0,-1.5901047765,0,-5.412629078,0,0,0,0,0,-2.5736805485,0,-0.024999303,0,-4.479100276,-0.4117071085,6.210678014,0,0,0,-1.354101996,-4.4436059445,-2.3075228335,5.574542793,0,-3.51690536,0,0
"ObeseLow",0,0,0,0,0.507068935,-1.5574027595,0.3797846095,0,0,0,0.374091321,-0.490266152,0,3.4859344715,0,0,0,0,-1.090918573,0,0,0.641861047,0,-3.228017014,0.727985989,2.8004880235,0,0,0,-2.012924806,-3.932611837,-2.651629624,4.583935526,0,-4.940330116,0,0
"plus",-1.026642562,0,0,0,4.284569945,-2.904690637,0,0,0,0,0,0,0,-0.612888537,0,0,0,0,0,0,0,2.826159134,0,0,0,5.057151959,0,0,0,0,-6.877239915,0,0,0,0,0,0
