"","pair","TimeDays","mcluster","hcluster","fed"
"1","ERR1314644_casper-ERR1310081_casper",18,1,1,"humanfood"
"2","ERR1314644_casper-ERR1310082_casper",14,1,1,"humanfood"
"3","ERR1314644_casper-ERR1310083_casper",24,1,1,"humanfood"
"4","ERR1314644_casper-ERR1310084_casper",27,1,1,"humanfood"
"5","ERR1314644_casper-ERR1310085_casper",34,1,1,"humanfood"
"6","ERR1314644_casper-ERR1310086_casper",14,1,1,"humanfood"
"7","ERR1314644_casper-ERR1310087_casper",24,1,1,"humanfood"
"8","ERR1314644_casper-ERR1310088_casper",18,1,1,"humanfood"
"9","ERR1314644_casper-ERR1310089_casper",27,1,1,"humanfood"
"10","ERR1314644_casper-ERR1310090_casper",34,1,1,"humanfood"
"11","ERR1314644_casper-ERR1310091_casper",14,1,1,"humanfood"
"12","ERR1314644_casper-ERR1310092_casper",24,1,1,"humanfood"
"13","ERR1314644_casper-ERR1310093_casper",18,1,1,"humanfood"
"14","ERR1314644_casper-ERR1310094_casper",27,1,1,"humanfood"
"15","ERR1314644_casper-ERR1310095_casper",34,1,1,"humanfood"
"16","ERR1314644_casper-ERR1310096_casper",14,1,1,"humanfood"
"17","ERR1314644_casper-ERR1310097_casper",18,1,1,"humanfood"
"18","ERR1314644_casper-ERR1310098_casper",24,1,1,"humanfood"
"19","ERR1314644_casper-ERR1310099_casper",27,1,1,"humanfood"
"20","ERR1314644_casper-ERR1310100_casper",34,1,1,"humanfood"
"21","ERR1315244_casper-ERR1310101_casper",14,2,1,"humanfood"
"22","ERR1315244_casper-ERR1310102_casper",18,2,1,"humanfood"
"23","ERR1315244_casper-ERR1310103_casper",24,2,1,"humanfood"
"24","ERR1315244_casper-ERR1310104_casper",27,2,1,"humanfood"
"25","ERR1315244_casper-ERR1310105_casper",34,2,1,"humanfood"
"26","ERR1315244_casper-ERR1310106_casper",14,2,1,"humanfood"
"27","ERR1315244_casper-ERR1310107_casper",24,2,1,"humanfood"
"28","ERR1315244_casper-ERR1310108_casper",18,2,1,"humanfood"
"29","ERR1315244_casper-ERR1310109_casper",27,2,1,"humanfood"
"30","ERR1315244_casper-ERR1310110_casper",34,2,1,"humanfood"
"31","ERR1315244_casper-ERR1310111_casper",14,2,1,"humanfood"
"32","ERR1315244_casper-ERR1310112_casper",18,2,1,"humanfood"
"33","ERR1315244_casper-ERR1310113_casper",24,2,1,"humanfood"
