Genus,humanPer,mousePer,reduced_pct,mouse
Blautia,67.90879403,49.06995321,-0.468758516,ERR1310081
Streptococcus,4.350361558,0.136939404,-4.989525761,ERR1310081
Ruminococcus,3.160718451,5.728631747,0.857938071,ERR1310081
Clostridium,2.233496618,22.1157138,3.307695832,ERR1310081
Lachnoclostridium,1.522043387,5.100992811,1.744768583,ERR1310081
Hespellia,0.944716585,1.278101107,0.436048477,ERR1310081
Clostridioides,0.66480056,2.396439575,1.849899062,ERR1310081
Ruminiclostridium,0.507347796,0.365171745,-0.474399938,ERR1310081
[Eubacterium] dolichum[genus],0.402379286,0.696108639,0.790756439,ERR1310081
Eggerthella,0.373221367,0.330936894,-0.173475447,ERR1310081
Peptoniphilus,0.344063448,0.342348511,-0.007208895,ERR1310081
Blautia,67.90879403,62.81813362,-0.112417332,ERR1310082
Streptococcus,4.350361558,0.291622481,-3.89896146,ERR1310082
Ruminococcus,3.160718451,14.30275716,2.177968849,ERR1310082
Clostridium,2.233496618,5.222693531,1.225489979,ERR1310082
Lachnoclostridium,1.522043387,4.414103924,1.536111112,ERR1310082
Hespellia,0.944716585,2.505302227,1.407031162,ERR1310082
Clostridioides,0.66480056,1.219512195,0.875310683,ERR1310082
Ruminiclostridium,0.507347796,0.609756098,0.265257201,ERR1310082
[Eubacterium] dolichum[genus],0.402379286,0.914634146,1.184638741,ERR1310082
Eggerthella,0.373221367,0.318133616,-0.230398758,ERR1310082
Peptoniphilus,0.344063448,0.238600212,-0.528079307,ERR1310082
Enterococcus,0.338231864,0.185577943,-0.865987332,ERR1310082
Blautia,67.90879403,46.58931786,-0.543599205,ERR1310083
Bifidobacterium,13.50011663,0.460092018,-4.874905632,ERR1310083
Streptococcus,4.350361558,0.160032006,-4.76470293,ERR1310083
Ruminococcus,3.160718451,2.940588118,-0.104147806,ERR1310083
Clostridium,2.233496618,9.661932386,2.113007687,ERR1310083
Lachnoclostridium,1.522043387,5.581116223,1.874544205,ERR1310083
Hespellia,0.944716585,1.780356071,0.914212318,ERR1310083
Clostridioides,0.66480056,2.860572114,2.105310213,ERR1310083
Ruminiclostridium,0.507347796,1.340268054,1.401474585,ERR1310083
[Eubacterium] dolichum[genus],0.402379286,0.640128026,0.669804433,ERR1310083
Eggerthella,0.373221367,0.700140028,0.907611907,ERR1310083
Peptoniphilus,0.344063448,0.24004801,-0.519351659,ERR1310083
Enterococcus,0.338231864,0.160032006,-1.079652105,ERR1310083
Blautia,67.90879403,74.42046363,0.132100966,ERR1310084
Bifidobacterium,13.50011663,0.399680256,-5.077981756,ERR1310084
Streptococcus,4.350361558,0.253130829,-4.10318018,ERR1310084
Ruminococcus,3.160718451,7.820410338,1.306991779,ERR1310084
Clostridium,2.233496618,0.679456435,-1.716851113,ERR1310084
Lachnoclostridium,1.522043387,4.503064215,1.564897567,ERR1310084
Hespellia,0.944716585,2.198241407,1.218396338,ERR1310084
Clostridioides,0.66480056,1.452171596,1.127218438,ERR1310084
Ruminiclostridium,0.507347796,0.119904077,-2.081094367,ERR1310084
[Eubacterium] dolichum[genus],0.402379286,0.532907008,0.405327765,ERR1310084
Eggerthella,0.373221367,0.319744205,-0.223113372,ERR1310084
Peptoniphilus,0.344063448,0.133226752,-1.368790828,ERR1310084
Blautia,67.90879403,68.85984345,0.020064489,ERR1310085
Bifidobacterium,13.50011663,1.91995274,-2.813829167,ERR1310085
Streptococcus,4.350361558,0.103382071,-5.3950774,ERR1310085
Ruminococcus,3.160718451,12.61261261,1.996542716,ERR1310085
Clostridium,2.233496618,1.137202777,-0.973814543,ERR1310085
Lachnoclostridium,1.522043387,2.193176783,0.527012622,ERR1310085
Hespellia,0.944716585,2.835622508,1.585711996,ERR1310085
Clostridioides,0.66480056,4.55619554,2.776836163,ERR1310085
Ruminiclostridium,0.507347796,0.110766504,-2.195453402,ERR1310085
[Eubacterium] dolichum[genus],0.402379286,1.30704475,1.699680591,ERR1310085
Eggerthella,0.373221367,0.391374982,0.068519952,ERR1310085
Blautia,67.90879403,52.73820125,-0.364750046,ERR1310086
Bifidobacterium,13.50011663,0.422974176,-4.996258475,ERR1310086
Streptococcus,4.350361558,0.411843277,-3.400967965,ERR1310086
Ruminococcus,3.160718451,17.69813001,2.485272498,ERR1310086
Clostridium,2.233496618,1.024042743,-1.125028136,ERR1310086
Lachnoclostridium,1.522043387,5.242653606,1.784287742,ERR1310086
Hespellia,0.944716585,4.697239537,2.313859675,ERR1310086
Clostridioides,0.66480056,0.745770258,0.165809666,ERR1310086
Ruminiclostridium,0.507347796,0.868210151,0.775069212,ERR1310086
[Eubacterium] dolichum[genus],0.402379286,2.226179875,2.467942222,ERR1310086
Eggerthella,0.373221367,0.790293856,1.082357609,ERR1310086
Peptoniphilus,0.344063448,0.17809439,-0.95003256,ERR1310086
Enterococcus,0.338231864,0.333926981,-0.01847991,ERR1310086
Blautia,67.90879403,50.57172557,-0.425267406,ERR1310087
Bifidobacterium,13.50011663,0.155925156,-6.435974359,ERR1310087
Streptococcus,4.350361558,0.103950104,-5.387172202,ERR1310087
Ruminococcus,3.160718451,4.747054747,0.586780159,ERR1310087
Clostridium,2.233496618,4.054054054,0.860061255,ERR1310087
Lachnoclostridium,1.522043387,6.826056826,2.16504294,ERR1310087
Hespellia,0.944716585,2.494802495,1.400972116,ERR1310087
Clostridioides,0.66480056,5.994455994,3.172635331,ERR1310087
Ruminiclostridium,0.507347796,0.103950104,-2.287083878,ERR1310087
[Eubacterium] dolichum[genus],0.402379286,1.923076923,2.256788527,ERR1310087
Eggerthella,0.373221367,0.987525988,1.403787131,ERR1310087
Peptoniphilus,0.344063448,0.103950104,-1.726783431,ERR1310087
Enterococcus,0.338231864,0.138600139,-1.287083878,ERR1310087
Blautia,67.90879403,51.36086662,-0.402928867,ERR1310088
Bifidobacterium,13.50011663,0.595802302,-4.501994363,ERR1310088
Ruminococcus,3.160718451,2.667569397,-0.244726726,ERR1310088
Clostridium,2.233496618,9.979688558,2.159690723,ERR1310088
Lachnoclostridium,1.522043387,4.278943805,1.491245248,ERR1310088
Hespellia,0.944716585,1.800947867,0.930802929,ERR1310088
Clostridioides,0.66480056,2.97901151,2.163840196,ERR1310088
Ruminiclostridium,0.507347796,0.18957346,-1.420218078,ERR1310088
[Eubacterium] dolichum[genus],0.402379286,0.974949221,1.276771041,ERR1310088
Eggerthella,0.373221367,0.28436019,-0.392312081,ERR1310088
Peptoniphilus,0.344063448,0.28436019,-0.27495513,ERR1310088
Blautia,67.90879403,72.80546075,0.100448251,ERR1310089
