Species,humanPer,mousePer,reduced_pct,mouse
Blautia glucerasea,64.98220225,47.11593375,-0.463829602,ERR1310081
Streptococcus salivarius,3.279453813,0.102798401,-4.995565829,ERR1310081
Ruminococcus sp. DSM 100440,3.162747272,5.722444318,0.855453242,ERR1310081
Blautia schinkii,2.240765595,1.027984009,-1.124173915,ERR1310081
Clostridium butyricum,1.009511583,21.51913192,4.413890512,ERR1310081
Hespellia stercorisuis,0.945322985,1.279268989,0.436440409,ERR1310081
[Clostridium] symbiosum,0.706074575,2.992575671,2.083495254,ERR1310081
[Clostridium] aldenense,0.694403921,1.679040548,1.273790071,ERR1310081
Clostridioides difficile,0.665227286,2.398629355,1.850290993,ERR1310081
[Clostridium] clariflavum,0.414308222,0.228440891,-0.858883535,ERR1310081
[Eubacterium] dolichum,0.402637568,0.696744717,0.791148371,ERR1310081
Eggerthella lenta,0.373460932,0.331239292,-0.173083515,ERR1310081
[Ruminococcus] gnavus,0.355954951,0.434037693,0.286125666,ERR1310081
Peptoniphilus lacrimalis,0.344284297,0.342661336,-0.006816964,ERR1310081
Blautia hansenii,0.297601681,0.445459737,0.581912367,ERR1310081
[Clostridium] bolteae,0.116706541,0.422615648,1.856460761,ERR1310081
Blautia glucerasea,64.98220225,60.16982884,-0.111004385,ERR1310082
Streptococcus salivarius,3.279453813,0.185750299,-4.142019122,ERR1310082
Ruminococcus sp. DSM 100440,3.162747272,14.28950511,2.175705769,ERR1310082
Blautia schinkii,2.240765595,1.605413294,-0.481046988,ERR1310082
Clostridium butyricum,1.009511583,5.068329574,2.327852876,ERR1310082
Hespellia stercorisuis,0.945322985,2.50762903,1.407444697,ERR1310082
[Clostridium] symbiosum,0.706074575,2.892397506,2.034373363,ERR1310082
[Clostridium] aldenense,0.694403921,1.260448454,0.860090121,ERR1310082
Clostridioides difficile,0.665227286,1.220644819,0.875724218,ERR1310082
[Clostridium] clariflavum,0.414308222,0.291893326,-0.505263225,ERR1310082
[Eubacterium] dolichum,0.402637568,0.915483614,1.185052276,ERR1310082
Eggerthella lenta,0.373460932,0.318429083,-0.229985223,ERR1310082
[Ruminococcus] gnavus,0.355954951,0.464375746,0.383597955,ERR1310082
Peptoniphilus lacrimalis,0.344284297,0.238821812,-0.527665772,ERR1310082
