mouse,condition,fed
ERR1310081,Infantformula,humanfood
ERR1310082,Infantformula,humanfood
ERR1310083,Infantformula,humanfood
ERR1310084,Infantformula,humanfood
ERR1310085,Infantformula+fruitsandvegetables,humanfood
ERR1310086,Infantformula+fruitsandvegetables,humanfood
ERR1310087,Infantformula+fruitsandvegetables,humanfood
ERR1310088,Infantformula+fruitsandvegetables,humanfood
ERR1310089,Infantformula+fruitsandvegetables,humanfood
ERR1310090,Infantformula+fruitsandvegetables,humanfood
ERR1310091,Infantformula+fruitsandvegetables,humanfood
ERR1310092,Infantformula+fruitsandvegetables,humanfood
ERR1310093,Infantformula,humanfood
ERR1310094,Infantformula,humanfood
ERR1310095,Infantformula,humanfood
ERR1310096,Infantformula,humanfood
ERR1310097,Infantformula,humanfood
ERR1310098,Infantformula,humanfood
ERR1310099,Infantformula,humanfood
ERR1310100,Infantformula,humanfood
ERR1310101,Infantformula,humanfood
ERR1310102,Infantformula,humanfood
ERR1310103,Infantformula,humanfood
ERR1310104,Infantformula,humanfood
ERR1310105,Infantformula,humanfood
ERR1310106,Infantformula+fruitsandvegetables,humanfood
ERR1310107,Infantformula+fruitsandvegetables,humanfood
ERR1310108,Infantformula+fruitsandvegetables,humanfood
ERR1310109,Infantformula+fruitsandvegetables,humanfood
ERR1310110,Infantformula+fruitsandvegetables,humanfood
ERR1310111,Infantformula+fruitsandvegetables,humanfood
ERR1310112,Infantformula+fruitsandvegetables,humanfood
ERR1310113,Infantformula+fruitsandvegetables,humanfood
ERR1310114,Infantformula+fruitsandvegetables,humanfood
ERR1310115,Infantformula+fruitsandvegetables,humanfood
ERR1310116,Infantformula,humanfood
ERR1310117,Infantformula,humanfood
ERR1310118,Infantformula,humanfood
ERR1310119,Infantformula,humanfood
ERR1310120,Infantformula,humanfood
ERR1310121,Infantformula,humanfood
ERR1310122,Infantformula,humanfood
ERR1310123,Infantformula,humanfood
ERR1310124,Infantformula,humanfood
ERR1310125,Infantformula,humanfood
ERR1310126,Infantformula,humanfood
ERR1310127,Infantformula,humanfood
ERR1310128,Infantformula,humanfood
ERR1310129,Infantformula,humanfood
ERR1310130,Infantformula,humanfood
ERR1310131,Infantformula+fruitsandvegetables,humanfood
ERR1310132,Infantformula+fruitsandvegetables,humanfood
ERR1310133,Infantformula+fruitsandvegetables,humanfood
ERR1310134,Infantformula+fruitsandvegetables,humanfood
ERR1310135,Infantformula+fruitsandvegetables,humanfood
ERR1310136,Infantformula+fruitsandvegetables,humanfood
ERR1310137,Infantformula+fruitsandvegetables,humanfood
ERR1310138,Infantformula+fruitsandvegetables,humanfood
ERR1310139,Infantformula+fruitsandvegetables,humanfood
ERR1310140,Infantformula+fruitsandvegetables,humanfood
ERR1310141,Infantformula,humanfood
ERR1310142,Infantformula,humanfood
ERR1310143,Infantformula,humanfood
ERR1310144,Infantformula,humanfood
ERR1310145,Infantformula,humanfood
ERR1310146,Infantformula,humanfood
ERR1310147,Infantformula,humanfood
ERR1310148,Infantformula,humanfood
ERR1310149,Infantformula,humanfood
ERR1310150,Infantformula,humanfood
ERR1310151,Infantformula,humanfood
ERR1310152,Infantformula,humanfood
ERR1310153,Infantformula,humanfood
ERR1310154,Infantformula,humanfood
ERR1310155,Infantformula,humanfood
ERR1310156,Infantformula+fruitsandvegetables,humanfood
ERR1310157,Infantformula+fruitsandvegetables,humanfood
ERR1310158,Infantformula+fruitsandvegetables,humanfood
ERR1310159,Infantformula+fruitsandvegetables,humanfood
ERR1310160,Infantformula+fruitsandvegetables,humanfood
ERR1310161,Infantformula+fruitsandvegetables,humanfood
ERR1310162,Infantformula+fruitsandvegetables,humanfood
ERR1310163,Infantformula+fruitsandvegetables,humanfood
ERR1310164,Infantformula+fruitsandvegetables,humanfood
ERR1310165,Infantformula+fruitsandvegetables,humanfood
ERR1310166,Infantformula,humanfood
ERR1310167,Infantformula,humanfood
ERR1310168,Infantformula,humanfood
ERR1310169,Infantformula,humanfood
ERR1310170,Infantformula,humanfood
ERR1310171,Infantformula,humanfood
ERR1310172,Infantformula,humanfood
ERR1310173,Infantformula,humanfood
ERR1310174,Infantformula,humanfood
ERR1310175,Infantformula,humanfood
ERR1310176,Infantformula,humanfood
ERR1310177,Infantformula,humanfood
ERR1310178,Infantformula,humanfood
ERR1310179,Infantformula,humanfood
ERR1310180,Infantformula,humanfood
ERR1310181,Infantformula+fruitsandvegetables,humanfood
ERR1310182,Infantformula+fruitsandvegetables,humanfood
ERR1310183,Infantformula+fruitsandvegetables,humanfood
ERR1310184,Infantformula+fruitsandvegetables,humanfood
ERR1310185,Infantformula+fruitsandvegetables,humanfood
ERR1310186,Infantformula+fruitsandvegetables,humanfood
ERR1310187,Infantformula+fruitsandvegetables,humanfood
ERR1310188,Infantformula+fruitsandvegetables,humanfood
ERR1310189,Infantformula+fruitsandvegetables,humanfood
ERR1310190,Infantformula+fruitsandvegetables,humanfood
ERR1310191,Infantformula,humanfood
ERR1310192,Infantformula,humanfood
ERR1310193,Infantformula,humanfood
ERR1310194,Infantformula,humanfood
ERR1310195,Infantformula,humanfood
ERR1310196,Infantformula,humanfood
ERR1310197,Infantformula,humanfood
ERR1310198,Infantformula,humanfood
ERR1310199,Infantformula,humanfood
ERR1310200,Infantformula,humanfood
ERR1310201,Infantformula,humanfood
ERR1310202,Infantformula,humanfood
ERR1310203,Infantformula,humanfood
ERR1310204,Infantformula,humanfood
ERR1310205,Infantformula,humanfood
ERR1310206,Infantformula+fruitsandvegetables,humanfood
ERR1310207,Infantformula+fruitsandvegetables,humanfood
