"","mouse","condition","fed","Genus","humanPer","mousePer","reduced_pct"
"1","ERR1310081","Infantformula","humanfood","Streptococcus",4.350361558,0.136939404,-4.989525761
"2","ERR1310081","Infantformula","humanfood","Ruminiclostridium",0.507347796,0.365171745,-0.474399938
"3","ERR1310081","Infantformula","humanfood","Ruminococcus",3.160718451,5.728631747,0.857938071
"4","ERR1310081","Infantformula","humanfood","[Eubacterium] dolichum[genus]",0.402379286,0.696108639,0.790756439
"5","ERR1310081","Infantformula","humanfood","Lachnoclostridium",1.522043387,5.100992811,1.744768583
"6","ERR1310081","Infantformula","humanfood","Hespellia",0.944716585,1.278101107,0.436048477
"7","ERR1310082","Infantformula","humanfood","Ruminococcus",3.160718451,14.30275716,2.177968849
"8","ERR1310082","Infantformula","humanfood","Hespellia",0.944716585,2.505302227,1.407031162
"9","ERR1310082","Infantformula","humanfood","Lachnoclostridium",1.522043387,4.414103924,1.536111112
"10","ERR1310082","Infantformula","humanfood","Ruminiclostridium",0.507347796,0.609756098,0.265257201
"11","ERR1310082","Infantformula","humanfood","Streptococcus",4.350361558,0.291622481,-3.89896146
"12","ERR1310082","Infantformula","humanfood","[Eubacterium] dolichum[genus]",0.402379286,0.914634146,1.184638741
"13","ERR1310083","Infantformula","humanfood","Streptococcus",4.350361558,0.160032006,-4.76470293
"14","ERR1310083","Infantformula","humanfood","Bifidobacterium",13.50011663,0.460092018,-4.874905632
"15","ERR1310083","Infantformula","humanfood","Ruminiclostridium",0.507347796,1.340268054,1.401474585
"16","ERR1310083","Infantformula","humanfood","Lachnoclostridium",1.522043387,5.581116223,1.874544205
"17","ERR1310083","Infantformula","humanfood","Hespellia",0.944716585,1.780356071,0.914212318
"18","ERR1310083","Infantformula","humanfood","[Eubacterium] dolichum[genus]",0.402379286,0.640128026,0.669804433
"19","ERR1310083","Infantformula","humanfood","Ruminococcus",3.160718451,2.940588118,-0.104147806
"20","ERR1310084","Infantformula","humanfood","[Eubacterium] dolichum[genus]",0.402379286,0.532907008,0.405327765
"21","ERR1310084","Infantformula","humanfood","Ruminococcus",3.160718451,7.820410338,1.306991779
"22","ERR1310084","Infantformula","humanfood","Lachnoclostridium",1.522043387,4.503064215,1.564897567
"23","ERR1310084","Infantformula","humanfood","Hespellia",0.944716585,2.198241407,1.218396338
"24","ERR1310084","Infantformula","humanfood","Ruminiclostridium",0.507347796,0.119904077,-2.081094367
"25","ERR1310084","Infantformula","humanfood","Bifidobacterium",13.50011663,0.399680256,-5.077981756
"26","ERR1310084","Infantformula","humanfood","Streptococcus",4.350361558,0.253130829,-4.10318018
"27","ERR1310085","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",3.160718451,12.61261261,1.996542716
"28","ERR1310085","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",0.507347796,0.110766504,-2.195453402
"29","ERR1310085","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",13.50011663,1.91995274,-2.813829167
"30","ERR1310085","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.944716585,2.835622508,1.585711996
"31","ERR1310085","Infantformula+fruitsandvegetables","humanfood","Streptococcus",4.350361558,0.103382071,-5.3950774
"32","ERR1310085","Infantformula+fruitsandvegetables","humanfood","[Eubacterium] dolichum[genus]",0.402379286,1.30704475,1.699680591
"33","ERR1310085","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",1.522043387,2.193176783,0.527012622
"34","ERR1310086","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",0.507347796,0.868210151,0.775069212
"35","ERR1310086","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",13.50011663,0.422974176,-4.996258475
"36","ERR1310086","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",1.522043387,5.242653606,1.784287742
"37","ERR1310086","Infantformula+fruitsandvegetables","humanfood","Streptococcus",4.350361558,0.411843277,-3.400967965
"38","ERR1310086","Infantformula+fruitsandvegetables","humanfood","[Eubacterium] dolichum[genus]",0.402379286,2.226179875,2.467942222
"39","ERR1310086","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.944716585,4.697239537,2.313859675
"40","ERR1310086","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",3.160718451,17.69813001,2.485272498
"41","ERR1310087","Infantformula+fruitsandvegetables","humanfood","[Eubacterium] dolichum[genus]",0.402379286,1.923076923,2.256788527
"42","ERR1310087","Infantformula+fruitsandvegetables","humanfood","Streptococcus",4.350361558,0.103950104,-5.387172202
"43","ERR1310087","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.944716585,2.494802495,1.400972116
"44","ERR1310087","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",3.160718451,4.747054747,0.586780159
"45","ERR1310087","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",0.507347796,0.103950104,-2.287083878
"46","ERR1310087","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",13.50011663,0.155925156,-6.435974359
"47","ERR1310087","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",1.522043387,6.826056826,2.16504294
"48","ERR1310088","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",1.522043387,4.278943805,1.491245248
"49","ERR1310088","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.944716585,1.800947867,0.930802929
"50","ERR1310088","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",0.507347796,0.18957346,-1.420218078
"51","ERR1310088","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",3.160718451,2.667569397,-0.244726726
"52","ERR1310088","Infantformula+fruitsandvegetables","humanfood","[Eubacterium] dolichum[genus]",0.402379286,0.974949221,1.276771041
"53","ERR1310088","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",13.50011663,0.595802302,-4.501994363
"54","ERR1310089","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",13.50011663,1.187713311,-3.506713325
"55","ERR1310089","Infantformula+fruitsandvegetables","humanfood","Streptococcus",4.350361558,0.327645051,-3.730929662
"56","ERR1310089","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",1.522043387,4.054607509,1.413552782
"57","ERR1310089","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.944716585,2.580204778,1.449532079
"58","ERR1310089","Infantformula+fruitsandvegetables","humanfood","[Eubacterium] dolichum[genus]",0.402379286,1.76109215,2.129842456
"59","ERR1310089","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",3.160718451,8.928327645,1.498137442
"60","ERR1310090","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.944716585,3.35759568,1.829475021
"61","ERR1310090","Infantformula+fruitsandvegetables","humanfood","Streptococcus",4.350361558,0.195664084,-4.474684444
"62","ERR1310090","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",3.160718451,11.05110746,1.805866518
"63","ERR1310090","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",1.522043387,3.52195351,1.210366381
"64","ERR1310090","Infantformula+fruitsandvegetables","humanfood","[Eubacterium] dolichum[genus]",0.402379286,1.847068952,2.198609779
"65","ERR1310090","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",13.50011663,1.878375205,-2.845414696
