Pair_mouse,Experimental condition information,Human Gender,Condition
ERR1310081 ,Infant formula,,Infant formula
ERR1310082 ,Infant formula,,Infant formula
ERR1310083 ,Infant formula,,Infant formula
ERR1310084 ,Infant formula,,Infant formula
ERR1310085 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310086 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310087 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310088 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310089 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310090 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310091 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310092 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310093 ,Infant formula,,Infant formula
ERR1310094 ,Infant formula,,Infant formula
ERR1310095 ,Infant formula,,Infant formula
ERR1310096 ,Infant formula,,Infant formula
ERR1310097 ,Infant formula,,Infant formula
ERR1310098 ,Infant formula,,Infant formula
ERR1310099 ,Infant formula,,Infant formula
ERR1310100 ,Infant formula,,Infant formula
ERR1310101 ,Infant formula,,Infant formula
ERR1310102 ,Infant formula,,Infant formula
ERR1310103 ,Infant formula,,Infant formula
ERR1310104 ,Infant formula,,Infant formula
ERR1310105 ,Infant formula,,Infant formula
ERR1310106 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310107 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310108 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310109 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310110 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310111 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310112 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310113 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310114 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310115 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310116 ,Infant formula,,Infant formula
ERR1310117 ,Infant formula,,Infant formula
ERR1310118 ,Infant formula,,Infant formula
ERR1310119 ,Infant formula,,Infant formula
ERR1310120 ,Infant formula,,Infant formula
ERR1310121 ,Infant formula,,Infant formula
ERR1310122 ,Infant formula,,Infant formula
ERR1310123 ,Infant formula,,Infant formula
ERR1310124 ,Infant formula,,Infant formula
ERR1310125 ,Infant formula,,Infant formula
ERR1310126 ,Infant formula,,Infant formula
ERR1310127 ,Infant formula,,Infant formula
ERR1310128 ,Infant formula,,Infant formula
ERR1310129 ,Infant formula,,Infant formula
ERR1310130 ,Infant formula,,Infant formula
ERR1310131 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310132 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310133 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310134 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310135 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310136 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310137 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310138 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310139 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310140 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310141 ,Infant formula,,Infant formula
ERR1310142 ,Infant formula,,Infant formula
ERR1310143 ,Infant formula,,Infant formula
ERR1310144 ,Infant formula,,Infant formula
ERR1310145 ,Infant formula,,Infant formula
ERR1310146 ,Infant formula,,Infant formula
ERR1310147 ,Infant formula,,Infant formula
ERR1310148 ,Infant formula,,Infant formula
ERR1310149 ,Infant formula,,Infant formula
ERR1310150 ,Infant formula,,Infant formula
ERR1310151 ,Infant formula,,Infant formula
ERR1310152 ,Infant formula,,Infant formula
ERR1310153 ,Infant formula,,Infant formula
ERR1310154 ,Infant formula,,Infant formula
ERR1310155 ,Infant formula,,Infant formula
ERR1310156 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310157 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310158 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310159 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310160 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310161 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310162 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310163 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310164 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310165 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310166 ,Infant formula,,Infant formula
ERR1310167 ,Infant formula,,Infant formula
ERR1310168 ,Infant formula,,Infant formula
ERR1310169 ,Infant formula,,Infant formula
ERR1310170 ,Infant formula,,Infant formula
ERR1310171 ,Infant formula,,Infant formula
ERR1310172 ,Infant formula,,Infant formula
ERR1310173 ,Infant formula,,Infant formula
ERR1310174 ,Infant formula,,Infant formula
ERR1310175 ,Infant formula,,Infant formula
ERR1310176 ,Infant formula,,Infant formula
ERR1310177 ,Infant formula,,Infant formula
ERR1310178 ,Infant formula,,Infant formula
ERR1310179 ,Infant formula,,Infant formula
ERR1310180 ,Infant formula,,Infant formula
ERR1310181 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310182 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310183 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310184 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
