"","Genus","foldChangemouse"
"1","[Eubacterium] dolichum[genus]",1.27995565116532
"2","[Eubacterium] rectale[genus]",0.563467548579581
"3","[Eubacterium] sulci[genus]",-1.38220115114751
"4","Acholeplasma",0.256067098631583
"5","Akkermansia",-0.047460817110836
"6","Algoriphagus",-0.0550040440543184
"7","Alistipes",-0.950133793935587
"8","Anaerofustis",-0.499698392907407
"9","Anaerotruncus",-0.220981601114203
"10","Asaccharobacter",0.910575250116506
"11","Bacteroides",1.77750353432929
"12","Barnesiella",0.130904507119391
"13","Bifidobacterium",-3.44900291828605
"14","Bilophila",0.3799236193809
"15","Blautia",-1.42149222559171
"16","Butyricicoccus",-0.0559585100885282
"17","Butyricimonas",0.407853094498659
"18","Caminicella",1.29046441981656
"19","Capnocytophaga",3.4593837388178
"20","Cellulosilyticum",-0.185668774999868
"21","Christensenella",-2.19986962651747
"22","Clostridium",1.51729574871155
"23","Collinsella",-0.189503081950698
"24","Coprobacillus",0.328237788670343
"25","Coprococcus",-1.39596026691494
"26","Dehalobacter",0.179725561658164
"27","Delftia",-0.19870246033624
"28","Desulfonispora",0.668515171282233
"29","Desulfovibrio",0.589744987903901
"30","Dialister",-0.647467178786175
"31","Eggerthella",-0.557380473760735
"32","Erysipelatoclostridium",-0.45542838802661
"33","Escherichia",2.14835009639363
"34","Ethanoligenens",-0.016171406593035
"35","Eubacterium",-1.9432335118258
"36","Facklamia",1.09367641584463
"37","Faecalibacterium",-3.7638018966648
"38","Gemmiger",-1.63108892021854
"39","Hespellia",-1.24559189519109
"40","Holdemanella",-3.12502617728602
"41","Holdemania",0.500925019790951
"42","Hungatella",0.691256491892247
"43","Hyphomonas",-0.491866164411164
"44","Lachnoclostridium",1.56345410709401
"45","Lactobacillus",0.308561303982119
"46","Leifsonia",-0.226523322963642
"47","Megamonas",1.19218264288169
"48","Micromonospora",0.40621686224497
"49","Mitsuokella",0.869897360028429
"50","Odoribacter",-0.129150504066883
"51","Olsenella",-0.907999138009697
"52","Oscillibacter",-1.56342605631576
"53","Paenibacillus",0.531377658073998
"54","Parabacteroides",1.06754602943221
"55","Paraprevotella",2.20579752682869
"56","Parasutterella",3.85189547448342
"57","Peptoniphilus",0.187543291346861
"58","Prevotella",-2.84520941943772
"59","Roseburia",-0.510583705747548
"60","Ruminiclostridium",-2.02440154963638
"61","Ruminococcus",-2.34962136666515
"62","Slackia",0.00313958972664355
"63","Spiroplasma",4.37707331522951
"64","Sporobacter",-1.22037109598205
"65","Streptococcus",-0.758855146117686
"66","Sulfurovum",-1.20285713229427
"67","Sutterella",0.500823104811854
"68","Tyzzerella",0.000162476392772004
"69","Veillonella",1.04426308821803
